genre,x,y,hex_colour
broken beat,1106,17188,#a78668
bronx hip hop,1160,14356,#b56f13
brooklyn drill,1131,13124,#9e8e05
brooklyn indie,452,11852,#a4803e
brostep,781,17403,#d87b52
bruneian pop,627,13286,#958940
brutal death metal,161,10320,#ea3783
brutal deathcore,201,13732,#e6455f
bubble trance,949,18592,#d27b8c
bubblegrunge,399,10181,#a37e2a
bubblegum dance,876,17991,#d2761a
bubblegum pop,680,7030,#878307
buffalo hip hop,943,10856,#99880d
buffalo ny indie,482,8617,#93832b
buffalo ny metal,228,9974,#e4425c
bulgarian electronic,1349,19072,#be8dc1
bulgarian experimental,349,8236,#7d7db0
bulgarian folk,383,3499,#649638
bulgarian hip hop,1126,15798,#a68b15
bulgarian indie,650,12576,#968b4c
bulgarian metal,252,13078,#cf6248
bulgarian pop,897,15710,#b7840c
bulgarian rock,739,14163,#ab8222
burkinabe pop,1037,9909,#a88812
burkinabe traditional,1104,5622,#898854
burmese pop,736,12588,#a38b0b
burmese traditional,891,1982,#4a9f3a
burundian pop,1009,13448,#a48e02
burundian traditional,1160,7164,#7d7f62
bury st edmunds indie,367,9226,#b46734
bush ballad,937,6190,#629608
byzantine,248,933,#3ca208
c-pop,557,8543,#7b9405
c64,860,16316,#ab8a95
c86,438,11570,#a67a37
cabaret,841,1350,#419112
cajun,815,6300,#868b2d
calgary indie,497,8752,#948430
cali rap,1087,12750,#a58602
california hardcore,273,9488,#e04538
calming instrumental,937,3929,#2dacbe
calypso,815,3979,#5c8f0d
cambodian pop,882,12012,#9f8e0e
cambodian rock,579,7844,#948443
cambodian traditional,795,2740,#4c9f39
cambridge choir,184,763,#24964b
cambridgeshire indie,474,8892,#968726
cameroonian hip hop,1048,10567,#b68605
cameroonian pop,999,10047,#b28807
campursari,700,13163,#9b9812
canadian americana,607,6362,#719513
canadian black metal,71,10369,#c748a1
canadian blues,719,8524,#987f0e
canadian ccm,411,13536,#9c890b
canadian celtic,515,7486,#928a18
canadian children's music,1043,8076,#6b8f08
canadian choir,157,505,#1da067
canadian classical,248,1476,#229f96
canadian classical piano,579,642,#29a6d5
canadian comedy,1085,3107,#905007
canadian contemporary country,520,14435,#ad8602
canadian contemporary r&b,808,9984,#7d9825
canadian country,613,9176,#8d8d08
canadian death metal,155,13563,#e74278
canadian drill,1126,14474,#8e9701
canadian electronic,999,17783,#bf846e
canadian electropop,746,16177,#a68c3a
canadian experimental,248,6915,#6f83ab
canadian folk,664,7042,#719712
canadian garage rock,341,10156,#c95e39
canadian hardcore,195,11484,#ec3e34
canadian hip hop,1024,12363,#9f8c07
canadian house,1291,18632,#b48bb3
canadian indie,478,9796,#9a841c
canadian indie folk,520,6707,#689a24
canadian indigenous,711,9848,#7d8e27
canadian indigenous hip hop,1089,14953,#9c890d
canadian latin,968,15482,#b1840f
canadian metal,232,12172,#da523f
canadian metalcore,182,15090,#eb473b
canadian modern jazz,741,4611,#5d9786
canadian old school hip hop,1048,11887,#b3740e
canadian pop,610,10675,#948806
canadian pop punk,265,15912,#e05a11
canadian post-hardcore,197,12660,#dc5925
canadian post-punk,336,13090,#c06e79
canadian post-rock,307,7758,#7e87a3
canadian psychedelic,576,8200,#8b843a
canadian psychedelic rock,276,10676,#b07b5d
canadian punk,265,13041,#e4501c
canadian rock,395,14361,#c07315
canadian rockabilly,680,6818,#9e700e
